CN      南明     |~BADKEY~                                            
CN361012思明     |~BADKEY~                                            
CN430051汉阳     |~BADKEY~                                            
CN430205江夏     |~BADKEY~                                            
CN518024罗湖     |~BADKEY~                                            
CN527200罗定     |~BADKEY~                                            
CN528031禅城     |~BADKEY~                                            
CN528041禅城     |~BADKEY~                                            
CN610041武侯     |~BADKEY~                                            
CN710077雁塔     |~BADKEY~                                            
CN      中国     |~BADKEY~                                            
CN      公安     |~BADKEY~                                            
CN      太原     |~BADKEY~                                            
CN      西山     |~BADKEY~                                            
CN011699秦淮     |~BADKEY~                                            
CN100143海淀     |~BADKEY~                                            
CN201103闵行     |~BADKEY~                                            
CN221000江苏     |~BADKEY~                                            
CN257091东营     |~BADKEY~                                            
CN300041和平     |~BADKEY~                                            
CN310000余杭     |~BADKEY~                                            
CN331700进贤     |~BADKEY~                                            
CN400020江北     |~BADKEY~                                            
CN410005芙蓉     |~BADKEY~                                            
CN414000岳阳     |~BADKEY~                                            
CN524043赤坎     |~BADKEY~                                            
CN646000江阳     |~BADKEY~                                            
CN      台山     |~BADKEY~                                            
CN      高州     |~BADKEY~                                            
CN116031甘井     |~BADKEY~                                            
CN200083虹口     |~BADKEY~                                            
CN200136浦东     |~BADKEY~                                            
CN201411奉贤     |~BADKEY~                                            
CN214021南长     |~BADKEY~                                            
CN224002亭湖     |~BADKEY~                                            
CN310052滨江     |~BADKEY~                                            
CN350026仓山     |~BADKEY~                                            
CN430056汉阳     |~BADKEY~                                            
CN510310海珠     |~BADKEY~                                            
CN519199斗门     |~BADKEY~                                            
CN610058成华     |~BADKEY~                                            
CN710054雁塔     |~BADKEY~                                            
CN      人民     |~BADKEY~                                            
CN      汉阳     |~BADKEY~                                            
CN      金湾     |~BADKEY~                                            
CN064199玉田     |~BADKEY~                                            
CN100029西城     |~BADKEY~                                            
CN100039丰台     |~BADKEY~                                            
CN100054西城     |~BADKEY~                                            
CN100055宣武     |~BADKEY~                                            
CN101100通州     |~BADKEY~                                            
CN200092虹口     |~BADKEY~                                            
CN266011市北     |~BADKEY~                                            
CN315000海曙     |~BADKEY~                                            
CN400030沙坪     |~BADKEY~                                            
CN610074青羊     |~BADKEY~                                            
CN610084金牛     |~BADKEY~                                            
CN611830都江     |~BADKEY~                                            
CN      江东     |~BADKEY~                                            
CN      河南     |~BADKEY~                                            
CN110013沈河     |~BADKEY~                                            
CN200061普陀     |~BADKEY~                                            
CN200120浦东     |~BADKEY~                                            
CN201311浦东     |~BADKEY~                                            
CN226100海门     |~BADKEY~                                            
CN266399胶州     |~BADKEY~                                            
CN266555黄岛     |~BADKEY~                                            
CN310000杭州     |~BADKEY~                                            
CN310004江干     |~BADKEY~                                            
CN310020江干     |~BADKEY~                                            
CN344000临川     |~BADKEY~                                            
CN510623天河     |~BADKEY~                                            
CN523960厚街     |~BADKEY~                                            
CN529050蓬江     |~BADKEY~                                            
CN550000       |~BADKEY~                                                
CN610056成华     |~BADKEY~                                            
CN710100长安     |~BADKEY~                                            
CN710199长安     |~BADKEY~                                            
CN      四方     |~BADKEY~                                            
CN110033皇姑     |~BADKEY~                                            
CN150030香坊     |~BADKEY~                                            
CN200000TA     |~BADKEY~                                                
CN210024鼓楼     |~BADKEY~                                            
CN210028栖霞     |~BADKEY~                                            
CN225400泰兴     |~BADKEY~                                            
CN300131红桥     |~BADKEY~                                            
CN313000吴兴     |~BADKEY~                                            
CN400023江北     |~BADKEY~                                            
CN410007雨花     |~BADKEY~                                            
CN518002罗湖     |~BADKEY~                                            
CN523133麻涌     |~BADKEY~                                            
CN528237南海     |~BADKEY~                                            
CN530031江南     |~BADKEY~                                            
CN650021五华     |~BADKEY~                                            
CN      东莞     |~BADKEY~                                            
CN      大庆     |~BADKEY~                                            
CN      山东     |~BADKEY~                                            
CN      西乡     |~BADKEY~                                            
CN      青羊     |~BADKEY~                                            
CN101499怀柔     |~BADKEY~                                            
CN102206昌平     |~BADKEY~                                            
CN113001望花     |~BADKEY~                                            
CN150040香坊     |~BADKEY~                                            
CN213299金坛     |~BADKEY~                                            
CN310005拱墅     |~BADKEY~                                            
CN361009湖里     |~BADKEY~                                            
CN430000江岸     |~BADKEY~                                            
CN433000仙桃     |~BADKEY~                                            
CN510062越秀     |~BADKEY~                                            
CN510530萝岗     |~BADKEY~                                            
CN510999从化     |~BADKEY~                                            
CN516100博罗     |~BADKEY~                                            
CN516269惠阳     |~BADKEY~                                            
CN      创业     |~BADKEY~                                            
CN      南城     |~BADKEY~                                            
CN      张店     |~BADKEY~                                            
CN      莫干     |~BADKEY~                                            
CN      西青     |~BADKEY~                                            
CN      邯郸     |~BADKEY~                                            
CN      锡山     |~BADKEY~                                            
CN100000       |~BADKEY~                                                
CN100022朝阳     |~BADKEY~                                            
CN210005鼓楼     |~BADKEY~                                            
CN215002姑苏     |~BADKEY~                                            
CN250023槐荫     |~BADKEY~                                            
CN250024市中     |~BADKEY~                                            
CN300110南开     |~BADKEY~                                            
CN300182河东     |~BADKEY~                                            
CN361008思明     |~BADKEY~                                            
CN443002西陵     |~BADKEY~                                            
CN510163荔湾     |~BADKEY~                                            
CN510240海珠     |~BADKEY~                                            
CN518022罗湖     |~BADKEY~                                            
CN518083盐田     |~BADKEY~                                            
CN523000城区     |~BADKEY~                                            
CN523330石排     |~BADKEY~                                            
CN528325顺德     |~BADKEY~                                            
CN530021青秀     |~BADKEY~                                            
CN650091五华     |~BADKEY~                                            
CN710003莲湖     |~BADKEY~                                            
CN710119长安     |~BADKEY~                                            
CN      五一     |~BADKEY~                                            
CN100088海淀     |~BADKEY~                                            
CN110032皇姑     |~BADKEY~                                            
CN200081虹口     |~BADKEY~                                            
CN210031浦口     |~BADKEY~                                            
CN215007姑苏     |~BADKEY~                                            
CN362601永春     |~BADKEY~                                            
CN510130荔湾     |~BADKEY~                                            
CN510520天河     |~BADKEY~                                            
CN510880花都     |~BADKEY~                                            
CN528051禅城     |~BADKEY~                                            
CN710016未央     |~BADKEY~                                            
CN      拱墅     |~BADKEY~                                            
CN      斜土     |~BADKEY~                                            
CN      禅城     |~BADKEY~                                            
CN050051桥西     |~BADKEY~                                            
CN100037海淀     |~BADKEY~                                            
CN116013中山     |~BADKEY~                                            
CN201822嘉定     |~BADKEY~                                            
CN300000和平     |~BADKEY~                                            
CN300161河东     |~BADKEY~                                            
CN300202河西     |~BADKEY~                                            
CN361013湖里     |~BADKEY~                                            
CN410205岳麓     |~BADKEY~                                            
CN518049福田     |~BADKEY~                                            
CN518112龙岗     |~BADKEY~                                            
CN518114罗湖     |~BADKEY~                                            
CN522031东山     |~BADKEY~                                            
CN528244南海     |~BADKEY~                                            
CN529000蓬江     |~BADKEY~                                            
CN610500新都     |~BADKEY~                                            
CN      万州     |~BADKEY~                                            
CN      南宁     |~BADKEY~                                            
CN      大学     |~BADKEY~                                            
CN050800正定     |~BADKEY~                                            
CN100089海淀     |~BADKEY~                                            
CN130012朝阳     |~BADKEY~                                            
CN201210浦东     |~BADKEY~                                            
CN300134红桥     |~BADKEY~                                            
CN300250河北     |~BADKEY~                                            
CN361010思明     |~BADKEY~                                            
CN362261晋江     |~BADKEY~                                            
CN430063武昌     |~BADKEY~                                            
CN510470白云     |~BADKEY~                                            
CN510640天河     |~BADKEY~                                            
CN510650天河     |~BADKEY~                                            
CN528300顺德     |~BADKEY~                                            
CN      七里     |~BADKEY~                                            
CN      中心     |~BADKEY~                                            
CN      金沙     |~BADKEY~                                            
CN      ÕÃ     |~BADKEY~                                              
CN100018朝阳     |~BADKEY~                                            
CN100024朝阳     |~BADKEY~                                            
CN102401房山     |~BADKEY~                                            
CN130031二道     |~BADKEY~                                            
CN266021市北     |~BADKEY~                                            
CN300021和平     |~BADKEY~                                            
CN300384西青     |~BADKEY~                                            
CN310002上城     |~BADKEY~                                            
CN310009上城     |~BADKEY~                                            
CN510180越秀     |~BADKEY~                                            
CN543002蝶山     |~BADKEY~                                            
CN855700丁青     |~BADKEY~                                            
CN      交大     |~BADKEY~                                            
CN      同安     |~BADKEY~                                            
CN      盐田     |~BADKEY~                                            
CN100069丰台     |~BADKEY~                                            
CN130052宽城     |~BADKEY~                                            
CN210000白下     |~BADKEY~                                            
CN213004天宁     |~BADKEY~                                            
CN244100铜陵     |~BADKEY~                                            
CN266073市南     |~BADKEY~                                            
CN300050和平     |~BADKEY~                                            
CN315099海曙     |~BADKEY~                                            
CN325000瓯海     |~BADKEY~                                            
CN350009台江     |~BADKEY~                                            
CN350100闽侯     |~BADKEY~                                            
CN361021集美     |~BADKEY~                                            
CN361101翔安     |~BADKEY~                                            
CN430100蔡甸     |~BADKEY~                                            
CN450000金水     |~BADKEY~                                            
CN455000文峰     |~BADKEY~                                            
CN515071濠江     |~BADKEY~                                            
CN541002象山     |~BADKEY~                                            
CN550001云岩     |~BADKEY~                                            
CN570203美兰     |~BADKEY~                                            
CN      前进     |~BADKEY~                                            
CN      大港     |~BADKEY~                                            
CN      常州     |~BADKEY~                                            
CN      昌平     |~BADKEY~                                            
CN      海城     |~BADKEY~                                            
CN      鞍山     |~BADKEY~                                            
CN      ¹Ã     |~BADKEY~                                              
CN050000新华     |~BADKEY~                                            
CN100049海淀     |~BADKEY~                                            
CN116091甘井     |~BADKEY~                                            
CN150026道外     |~BADKEY~                                            
CN200082虹口     |~BADKEY~                                            
CN215131相城     |~BADKEY~                                            
CN215600张家     |~BADKEY~                                            
CN266000市南     |~BADKEY~                                            
CN310000西湖     |~BADKEY~                                            
CN350025鼓楼     |~BADKEY~                                            
CN510425白云     |~BADKEY~                                            
CN518109龙华     |~BADKEY~                                            
CN611230崇州     |~BADKEY~                                            
CN653100红塔     |~BADKEY~                                            
CN710005新城     |~BADKEY~                                            
CN      东风     |~BADKEY~                                            
CN      儋州     |~BADKEY~                                            
CN      横沥     |~BADKEY~                                            
CN      沙坪     |~BADKEY~                                            
CN030012小店     |~BADKEY~                                            
CN065201三河     |~BADKEY~                                            
CN101299平谷     |~BADKEY~                                            
CN200031徐汇     |~BADKEY~                                            
CN364000新罗     |~BADKEY~                                            
CN518105宝安     |~BADKEY~                                            
CN518116龙岗     |~BADKEY~                                            
CN528226南海     |~BADKEY~                                            
CN650031五华     |~BADKEY~                                            
CN      南岸     |~BADKEY~                                            
CN      新洲     |~BADKEY~                                            
CN      石龙     |~BADKEY~                                            
CN      顺义     |~BADKEY~                                            
CN100015朝阳     |~BADKEY~                                            
CN102399门头     |~BADKEY~                                            
CN200233徐汇     |~BADKEY~                                            
CN201505金山     |~BADKEY~                                            
CN201612松江     |~BADKEY~                                            
CN400042渝中     |~BADKEY~                                            
CN410000雨花     |~BADKEY~                                            
CN457001华龙     |~BADKEY~                                            
CN523220中堂     |~BADKEY~                                            
CN523539桥头     |~BADKEY~                                            
CN      东港     |~BADKEY~                                            
CN      南二     |~BADKEY~                                            
CN100162大兴     |~BADKEY~                                            
CN102627大兴     |~BADKEY~                                            
CN201602松江     |~BADKEY~                                            
CN202150崇明     |~BADKEY~                                            
CN210009鼓楼     |~BADKEY~                                            
CN226200启东     |~BADKEY~                                            
CN232007田家     |~BADKEY~                                            
CN250021槐荫     |~BADKEY~                                            
CN264299环翠     |~BADKEY~                                            
CN266121李沧     |~BADKEY~                                            
CN300381南开     |~BADKEY~                                            
CN315000鄞州     |~BADKEY~                                            
CN400000       |~BADKEY~                                                
CN426172祁阳     |~BADKEY~                                            
CN511455南沙     |~BADKEY~                                            
CN610097郫县     |~BADKEY~                                            
CN056599磁县     |~BADKEY~                                            
CN100068丰台     |~BADKEY~                                            
CN200540金山     |~BADKEY~                                            
CN215028姑苏     |~BADKEY~                                            
CN266199李沧     |~BADKEY~                                            
CN317500温岭     |~BADKEY~                                            
CN325000浙江     |~BADKEY~                                            
CN325200瑞安     |~BADKEY~                                            
CN518000罗湖     |~BADKEY~                                            
CN519000香洲     |~BADKEY~                                            
CN710068碑林     |~BADKEY~                                            
CN      云南     |~BADKEY~                                            
CN      北环     |~BADKEY~                                            
CN      渝中     |~BADKEY~                                            
CN      福清     |~BADKEY~                                            
CN      红河     |~BADKEY~                                            
CN      雨花     |~BADKEY~                                            
CN066000海港     |~BADKEY~                                            
CN100048海淀     |~BADKEY~                                            
CN201200浦东     |~BADKEY~                                            
CN210000       |~BADKEY~                                                
CN215009虎丘     |~BADKEY~                                            
CN300450塘沽     |~BADKEY~                                            
CN510000番禺     |~BADKEY~                                            
CN510199越秀     |~BADKEY~                                            
CN523750黄江     |~BADKEY~                                            
CN528234南海     |~BADKEY~                                            
CN530022青秀     |~BADKEY~                                            
CN      东城     |~BADKEY~                                            
CN      内蒙     |~BADKEY~                                            
CN      城中     |~BADKEY~                                            
CN      太白     |~BADKEY~                                            
CN      新都     |~BADKEY~                                            
CN100078丰台     |~BADKEY~                                            
CN101118通州     |~BADKEY~                                            
CN200050长宁     |~BADKEY~                                            
CN214500靖江     |~BADKEY~                                            
CN215021平江     |~BADKEY~                                            
CN226007崇川     |~BADKEY~                                            
CN226300通州     |~BADKEY~                                            
CN300386西青     |~BADKEY~                                            
CN410006岳麓     |~BADKEY~                                            
CN510075越秀     |~BADKEY~                                            
CN518016福田     |~BADKEY~                                            
CN518108宝安     |~BADKEY~                                            
CN523287高埗     |~BADKEY~                                            
CN610000四川     |~BADKEY~                                            
CN650051盘龙     |~BADKEY~                                            
CN      三门     |~BADKEY~                                            
CN      姑山     |~BADKEY~                                            
CN      成华     |~BADKEY~                                            
CN      虹口     |~BADKEY~                                            
CN      西藏     |~BADKEY~                                            
CN      重庆     |~BADKEY~                                            
CN050061新华     |~BADKEY~                                            
CN064000丰润     |~BADKEY~                                            
CN100052宣武     |~BADKEY~                                            
CN100161丰台     |~BADKEY~                                            
CN201399浦东     |~BADKEY~                                            
CN201906宝山     |~BADKEY~                                            
CN210003鼓楼     |~BADKEY~                                            
CN214063滨湖     |~BADKEY~                                            
CN266300胶州     |~BADKEY~                                            
CN300000西青     |~BADKEY~                                            
CN330077东湖     |~BADKEY~                                            
CN350108闽侯     |~BADKEY~                                            
CN363099芗城     |~BADKEY~                                            
CN510630天河     |~BADKEY~                                            
CN511490番禺     |~BADKEY~                                            
CN516211惠阳     |~BADKEY~                                            
CN      友谊     |~BADKEY~                                            
CN      红星     |~BADKEY~                                            
CN200000浦东     |~BADKEY~                                            
CN266071市南     |~BADKEY~                                            
CN300171河东     |~BADKEY~                                            
CN300384南开     |~BADKEY~                                            
CN318050路桥     |~BADKEY~                                            
CN325401平阳     |~BADKEY~                                            
CN510375荔湾     |~BADKEY~                                            
CN518036福田     |~BADKEY~                                            
CN528225南海     |~BADKEY~                                            
CN610044武侯     |~BADKEY~                                            
CN      一环     |~BADKEY~                                            
CN      复兴     |~BADKEY~                                            
CN      太和     |~BADKEY~                                            
CN      长春     |~BADKEY~                                            
CN      ÌÌ     |~BADKEY~                                              
CN044000盐湖     |~BADKEY~                                            
CN100000共和     |~BADKEY~                                            
CN100025朝阳     |~BADKEY~                                            
CN200436闸北     |~BADKEY~                                            
CN215001姑苏     |~BADKEY~                                            
CN266033四方     |~BADKEY~                                            
CN300190南开     |~BADKEY~                                            
CN310016上城     |~BADKEY~                                            
CN314023秀洲     |~BADKEY~                                            
CN350015马尾     |~BADKEY~                                            
CN410003开福     |~BADKEY~                                            
CN433099仙桃     |~BADKEY~                                            
CN517001源城     |~BADKEY~                                            
CN518067南山     |~BADKEY~                                            
CN710086未央     |~BADKEY~                                            
CN      于洪     |~BADKEY~                                            
CN      学府     |~BADKEY~                                            
CN      平阳     |~BADKEY~                                            
CN      瓯海     |~BADKEY~                                            
CN      罗湖     |~BADKEY~                                            
CN      青山     |~BADKEY~                                            
CN230022包河     |~BADKEY~                                            
CN230061庐阳     |~BADKEY~                                            
CN250014历下     |~BADKEY~                                            
CN273199曲阜     |~BADKEY~                                            
CN310012西湖     |~BADKEY~                                            
CN314200平湖     |~BADKEY~                                            
CN430409新洲     |~BADKEY~                                            
CN450000中原     |~BADKEY~                                            
CN510010荔湾     |~BADKEY~                                            
CN510660天河     |~BADKEY~                                            
CN518003罗湖     |~BADKEY~                                            
CN671000大理     |~BADKEY~                                            
CN      东大     |~BADKEY~                                            
CN      东方     |~BADKEY~                                            
CN      碧波     |~BADKEY~                                            
CN150036香坊     |~BADKEY~                                            
CN200032徐汇     |~BADKEY~                                            
CN201403奉贤     |~BADKEY~                                            
CN213001钟楼     |~BADKEY~                                            
CN250000山东     |~BADKEY~                                            
CN300061河西     |~BADKEY~                                            
CN350018仓山     |~BADKEY~                                            
CN510120越秀     |~BADKEY~                                            
CN515100潮阳     |~BADKEY~                                            
CN528318顺德     |~BADKEY~                                            
CN      东丽     |~BADKEY~                                            
CN      民族     |~BADKEY~                                            
CN      汉口     |~BADKEY~                                            
CN      石景     |~BADKEY~                                            
CN      福田     |~BADKEY~                                            
CN      通州     |~BADKEY~                                            
CN200021黄浦     |~BADKEY~                                            
CN215004姑苏     |~BADKEY~                                            
CN215316昆山     |~BADKEY~                                            
CN300140河北     |~BADKEY~                                            
CN300162河东     |~BADKEY~                                            
CN300400北辰     |~BADKEY~                                            
CN315408余姚     |~BADKEY~                                            
CN410021雨花     |~BADKEY~                                            
CN510275海珠     |~BADKEY~                                            
CN511436番禺     |~BADKEY~                                            
CN528143三水     |~BADKEY~                                            
CN545007柳南     |~BADKEY~                                            
CN      南路     |~BADKEY~                                            
CN      常熟     |~BADKEY~                                            
CN      (家     |~BADKEY~                                              
CN210012雨花     |~BADKEY~                                            
CN362100惠安     |~BADKEY~                                            
CN511470番禺     |~BADKEY~                                            
CN518000广东     |~BADKEY~                                            
CN518010罗湖     |~BADKEY~                                            
CN528247南海     |~BADKEY~                                            
CN545001城中     |~BADKEY~                                            
CN      仙霞     |~BADKEY~                                            
CN      玄武     |~BADKEY~                                            
CN      ÄÚ     |~BADKEY~                                              
CN100000昌平     |~BADKEY~                                            
CN130041南关     |~BADKEY~                                            
CN200127浦东     |~BADKEY~                                            
CN201700青浦     |~BADKEY~                                            
CN310014拱墅     |~BADKEY~                                            
CN410002天心     |~BADKEY~                                            
CN510810花都     |~BADKEY~                                            
CN518046福田     |~BADKEY~                                            
CN518106宝安     |~BADKEY~                                            
CN523660清溪     |~BADKEY~                                            
CN610047武侯     |~BADKEY~                                            
CN710016莲湖     |~BADKEY~                                            
CN710077莲湖     |~BADKEY~                                            
CN      世纪     |~BADKEY~                                            
CN      增城     |~BADKEY~                                            
CN      郫县     |~BADKEY~                                            
CN030002杏花     |~BADKEY~                                            
CN030006小店     |~BADKEY~                                            
CN050000裕华     |~BADKEY~                                            
CN100083北京     |~BADKEY~                                            
CN150000       |~BADKEY~                                                
CN200020黄浦     |~BADKEY~                                            
CN201106闵行     |~BADKEY~                                            
CN301900蓟县     |~BADKEY~                                            
CN310015拱墅     |~BADKEY~                                            
CN310021江干     |~BADKEY~                                            
CN510115越秀     |~BADKEY~                                            
CN518000宝安     |~BADKEY~                                            
CN518102宝安     |~BADKEY~                                            
CN519001香洲     |~BADKEY~                                            
CN523451东坑     |~BADKEY~                                            
CN610093武侯     |~BADKEY~                                            
CN710077陕西     |~BADKEY~                                            
CN      北路     |~BADKEY~                                            
CN      地球     |~BADKEY~                                            
CN      沙井     |~BADKEY~                                            
CN      经济     |~BADKEY~                                            
CN      莲湖     |~BADKEY~                                            
CN      香港     |~BADKEY~                                            
CN043899闻喜     |~BADKEY~                                            
CN100052西城     |~BADKEY~                                            
CN116081沙河     |~BADKEY~                                            
CN200231徐汇     |~BADKEY~                                            
CN201413奉贤     |~BADKEY~                                            
CN201799青浦     |~BADKEY~                                            
CN215228吴江     |~BADKEY~                                            
CN310018江干     |~BADKEY~                                            
CN361015湖里     |~BADKEY~                                            
CN430035硚口     |~BADKEY~                                            
CN518031福田     |~BADKEY~                                            
CN519099香洲     |~BADKEY~                                            
CN528500高明     |~BADKEY~                                            
CN530003西乡     |~BADKEY~                                            
CN650011官渡     |~BADKEY~                                            
CN710018未央     |~BADKEY~                                            
CN      湖里     |~BADKEY~                                            
CN      胜利     |~BADKEY~                                            
CN      郑州     |~BADKEY~                                            
CN      阳光     |~BADKEY~                                            
CN072750涿州     |~BADKEY~                                            
CN200040静安     |~BADKEY~                                            
CN312300上虞     |~BADKEY~                                            
CN510000天河     |~BADKEY~                                            
CN510725黄埔     |~BADKEY~                                            
CN510735黄埔     |~BADKEY~                                            
CN523622樟木     |~BADKEY~                                            
CN523770大朗     |~BADKEY~                                            
CN710014莲湖     |~BADKEY~                                            
CN      临河     |~BADKEY~                                            
CN      光明     |~BADKEY~                                            
CN      工农     |~BADKEY~                                            
CN      桂平     |~BADKEY~                                            
CN      江南     |~BADKEY~                                            
CN      深圳     |~BADKEY~                                            
CN      贵州     |~BADKEY~                                            
CN150056道外     |~BADKEY~                                            
CN20000020     |~BADKEY~                                                
CN200093杨浦     |~BADKEY~                                            
CN201401奉贤     |~BADKEY~                                            
CN201508金山     |~BADKEY~                                            
CN221000泉山     |~BADKEY~                                            
CN243000花山     |~BADKEY~                                            
CN250033天桥     |~BADKEY~                                            
CN250100历城     |~BADKEY~                                            
CN300111南开     |~BADKEY~                                            
CN315199鄞州     |~BADKEY~                                            
CN430070武昌     |~BADKEY~                                            
CN528471沙溪     |~BADKEY~                                            
CN614000市中     |~BADKEY~                                            
CN      武汉     |~BADKEY~                                            
CN      武进     |~BADKEY~                                            
CN      鄞州     |~BADKEY~                                            
CN      长乐     |~BADKEY~                                            
CN      É½     |~BADKEY~                                              
CN100038海淀     |~BADKEY~                                            
CN100044海淀     |~BADKEY~                                            
CN100080海淀     |~BADKEY~                                            
CN100166丰台     |~BADKEY~                                            
CN201824嘉定     |~BADKEY~                                            
CN201999宝山     |~BADKEY~                                            
CN241000镜湖     |~BADKEY~                                            
CN266005市南     |~BADKEY~                                            
CN300457滨海     |~BADKEY~                                            
CN315300慈溪     |~BADKEY~                                            
CN430071武昌     |~BADKEY~                                            
CN510315海珠     |~BADKEY~                                            
CN510799黄埔     |~BADKEY~                                            
CN511340增城     |~BADKEY~                                            
CN514021梅江     |~BADKEY~                                            
CN518005罗湖     |~BADKEY~                                            
CN      东湖     |~BADKEY~                                            
CN      兴宁     |~BADKEY~                                            
CN      北碚     |~BADKEY~                                            
CN      定海     |~BADKEY~                                            
CN      ºÚ     |~BADKEY~                                              
CN024000红山     |~BADKEY~                                            
CN050000河北     |~BADKEY~                                            
CN100013东城     |~BADKEY~                                            
CN100086海淀     |~BADKEY~                                            
CN100192海淀     |~BADKEY~                                            
CN130033二道     |~BADKEY~                                            
CN200336长宁     |~BADKEY~                                            
CN200444宝山     |~BADKEY~                                            
CN400050九龙     |~BADKEY~                                            
CN510080越秀     |~BADKEY~                                            
CN510140荔湾     |~BADKEY~                                            
CN510160白云     |~BADKEY~                                            
CN510170越秀     |~BADKEY~                                            
CN510430白云     |~BADKEY~                                            
CN523039万江     |~BADKEY~                                            
CN528099禅城     |~BADKEY~                                            
CN      哈尔     |~BADKEY~                                            
CN      团结     |~BADKEY~                                            
CN      城区     |~BADKEY~                                            
CN      江北     |~BADKEY~                                            
CN      紫竹     |~BADKEY~                                            
CN      长沙     |~BADKEY~                                            
CN100006东城     |~BADKEY~                                            
CN100076大兴     |~BADKEY~                                            
CN150001南岗     |~BADKEY~                                            
CN213017天宁     |~BADKEY~                                            
CN225003广陵     |~BADKEY~                                            
CN300060河西     |~BADKEY~                                            
CN410100长沙     |~BADKEY~                                            
CN461099魏都     |~BADKEY~                                            
CN510000越秀     |~BADKEY~                                            
CN523899虎门     |~BADKEY~                                            
CN530005西乡     |~BADKEY~                                            
CN610081金牛     |~BADKEY~                                            
CN712100杨凌     |~BADKEY~                                            
               |~BADKEY~                                                
CN      普宁     |~BADKEY~                                            
CN100000丰台     |~BADKEY~                                            
CN100043石景     |~BADKEY~                                            
CN100070丰台     |~BADKEY~                                            
CN201109闵行     |~BADKEY~                                            
CN214062滨湖     |~BADKEY~                                            
CN264003莱山     |~BADKEY~                                            
CN266002市南     |~BADKEY~                                            
CN310023西湖     |~BADKEY~                                            
CN361011湖里     |~BADKEY~                                            
CN430077武昌     |~BADKEY~                                            
CN518101宝安     |~BADKEY~                                            
CN528429黄圃     |~BADKEY~                                            
CN      九龙     |~BADKEY~                                            
CN      保定     |~BADKEY~                                            
CN      南沙     |~BADKEY~                                            
CN      安宁     |~BADKEY~                                            
CN      开发     |~BADKEY~                                            
CN      江干     |~BADKEY~                                            
CN      甘肃     |~BADKEY~                                            
CN      西北     |~BADKEY~                                            
CN100026朝阳     |~BADKEY~                                            
CN100195海淀     |~BADKEY~                                            
CN102202昌平     |~BADKEY~                                            
CN116199金州     |~BADKEY~                                            
CN130000吉林     |~BADKEY~                                            
CN200002黄浦     |~BADKEY~                                            
CN200051长宁     |~BADKEY~                                            
CN215008金阊     |~BADKEY~                                            
CN250013历下     |~BADKEY~                                            
CN300450滨海     |~BADKEY~                                            
CN510070越秀     |~BADKEY~                                            
CN511486番禺     |~BADKEY~                                            
CN523820大岭     |~BADKEY~                                            
CN529500江城     |~BADKEY~                                            
CN      三亚     |~BADKEY~                                            
CN      劳动     |~BADKEY~                                            
CN      教工     |~BADKEY~                                            
CN      温泉     |~BADKEY~                                            
CN252002东昌     |~BADKEY~                                            
CN264209环翠     |~BADKEY~                                            
CN311215萧山     |~BADKEY~                                            
CN312000越城     |~BADKEY~                                            
CN330002西湖     |~BADKEY~                                            
CN355099福安     |~BADKEY~                                            
CN361001思明     |~BADKEY~                                            
CN430000洪山     |~BADKEY~                                            
CN458030淇滨     |~BADKEY~                                            
CN510091越秀     |~BADKEY~                                            
CN510399海珠     |~BADKEY~                                            
CN511430番禺     |~BADKEY~                                            
CN518029福田     |~BADKEY~                                            
CN521011湘桥     |~BADKEY~                                            
CN      中原     |~BADKEY~                                            
CN      交通     |~BADKEY~                                            
CN      南开     |~BADKEY~                                            
CN      武宁     |~BADKEY~                                            
CN      沙河     |~BADKEY~                                            
CN113006顺城     |~BADKEY~                                            
CN201314浦东     |~BADKEY~                                            
CN215699张家     |~BADKEY~                                            
CN272007市中     |~BADKEY~                                            
CN300192南开     |~BADKEY~                                            
CN330025西湖     |~BADKEY~                                            
CN430080青山     |~BADKEY~                                            
CN450000二七     |~BADKEY~                                            
CN511480番禺     |~BADKEY~                                            
CN518131龙华     |~BADKEY~                                            
CN      中华     |~BADKEY~                                            
CN      华侨     |~BADKEY~                                            
CN      市北     |~BADKEY~                                            
CN      市南     |~BADKEY~                                            
CN      清河     |~BADKEY~                                            
CN      长安     |~BADKEY~                                            
CN100005东城     |~BADKEY~                                            
CN100142海淀     |~BADKEY~                                            
CN116038甘井     |~BADKEY~                                            
CN150090南岗     |~BADKEY~                                            
CN200042静安     |~BADKEY~                                            
CN200235闵行     |~BADKEY~                                            
CN210028玄武     |~BADKEY~                                            
CN351146秀屿     |~BADKEY~                                            
CN361005思明     |~BADKEY~                                            
CN430064武昌     |~BADKEY~                                            
CN450000       |~BADKEY~                                                
CN510599天河     |~BADKEY~                                            
CN511399增城     |~BADKEY~                                            
CN526040端州     |~BADKEY~                                            
CN621000涪城     |~BADKEY~                                            
CN      岳麓     |~BADKEY~                                            
CN014010昆都     |~BADKEY~                                            
CN063000路南     |~BADKEY~                                            
CN071051新市     |~BADKEY~                                            
CN100027东城     |~BADKEY~                                            
CN100053西城     |~BADKEY~                                            
CN150070道里     |~BADKEY~                                            
CN210037玄武     |~BADKEY~                                            
CN261031奎文     |~BADKEY~                                            
CN264499文登     |~BADKEY~                                            
CN266012市北     |~BADKEY~                                            
CN300000河东     |~BADKEY~                                            
CN300300东丽     |~BADKEY~                                            
CN311201萧山     |~BADKEY~                                            
CN350004台江     |~BADKEY~                                            
CN452370新密     |~BADKEY~                                            
CN510405白云     |~BADKEY~                                            
